Link,ID
https://store.steampowered.com/app/1188930/,1188930
https://store.steampowered.com/app/393380/,393380
https://store.steampowered.com/app/1190970/,1190970
https://store.steampowered.com/app/1407200/,1407200
https://store.steampowered.com/app/1476970/,1476970
https://store.steampowered.com/app/374320/,374320
https://store.steampowered.com/app/261550/,261550
https://store.steampowered.com/app/1001270/,1001270
https://store.steampowered.com/app/1969870/,1969870
https://store.steampowered.com/app/1290000/,1290000
https://store.steampowered.com/app/1874880/,1874880
https://store.steampowered.com/app/613100/,613100
https://store.steampowered.com/app/814380/,814380
https://store.steampowered.com/app/1912750/,1912750
https://store.steampowered.com/app/550/,550
https://store.steampowered.com/app/304390/,304390
https://store.steampowered.com/app/1962660/,1962660
https://store.steampowered.com/app/1649240/,1649240
https://store.steampowered.com/app/1296610/,1296610
https://store.steampowered.com/app/1351240/,1351240
https://store.steampowered.com/app/2167580/,2167580
https://store.steampowered.com/app/1669000/,1669000
https://store.steampowered.com/app/2125540/,2125540
https://store.steampowered.com/app/1868140/,1868140
https://store.steampowered.com/app/2072450/,2072450
https://store.steampowered.com/app/440900/,440900
https://store.steampowered.com/app/1465360/,1465360
https://store.steampowered.com/app/1313140/,1313140
https://store.steampowered.com/app/2793370/,2793370
https://store.steampowered.com/app/1657630/,1657630
https://store.steampowered.com/app/766570/,766570
https://store.steampowered.com/app/835570/,835570
https://store.steampowered.com/app/1259980/,1259980
https://store.steampowered.com/app/1361210/,1361210
https://store.steampowered.com/app/892970/,892970
https://store.steampowered.com/app/1876890/,1876890
https://store.steampowered.com/app/1574360/,1574360
https://store.steampowered.com/app/1097430/,1097430
https://store.steampowered.com/app/1604030/,1604030
https://store.steampowered.com/app/501300/,501300
https://store.steampowered.com/app/1145360/,1145360
https://store.steampowered.com/app/962130/,962130
https://store.steampowered.com/app/1149620/,1149620
https://store.steampowered.com/app/718670/,718670
https://store.steampowered.com/app/454650/,454650
https://store.steampowered.com/app/526870/,526870
https://store.steampowered.com/app/805550/,805550
https://store.steampowered.com/app/380600/,380600
https://store.steampowered.com/app/761890/,761890
https://store.steampowered.com/app/1385380/,1385380
https://store.steampowered.com/app/2477340/,2477340
https://store.steampowered.com/app/1446780/,1446780
https://store.steampowered.com/app/251570/,251570
https://store.steampowered.com/app/915810/,915810
https://store.steampowered.com/app/1127700/,1127700
https://store.steampowered.com/app/2179850/,2179850
https://store.steampowered.com/app/594570/,594570
https://store.steampowered.com/app/2108330/,2108330
https://store.steampowered.com/app/2114740/,2114740
https://store.steampowered.com/app/880940/,880940
https://store.steampowered.com/app/1928980/,1928980
https://store.steampowered.com/app/242760/,242760
https://store.steampowered.com/app/1605220/,1605220
https://store.steampowered.com/app/958260/,958260
https://store.steampowered.com/app/223750/,223750
https://store.steampowered.com/app/1190000/,1190000
https://store.steampowered.com/app/1265820/,1265820
https://store.steampowered.com/app/548430/,548430
https://store.steampowered.com/app/2140020/,2140020
https://store.steampowered.com/app/1252680/,1252680
https://store.steampowered.com/app/2488620/,2488620
https://store.steampowered.com/app/1105420/,1105420
https://store.steampowered.com/app/945360/,945360
https://store.steampowered.com/app/1888160/,1888160
https://store.steampowered.com/app/1149460/,1149460
https://store.steampowered.com/app/1689500/,1689500
https://store.steampowered.com/app/304050/,304050
https://store.steampowered.com/app/1258080/,1258080
https://store.steampowered.com/app/1151640/,1151640
https://store.steampowered.com/app/337320/,337320
https://store.steampowered.com/app/269210/,269210
https://store.steampowered.com/app/1244460/,1244460
https://store.steampowered.com/app/838380/,838380
https://store.steampowered.com/app/513710/,513710
https://store.steampowered.com/app/1627720/,1627720
https://store.steampowered.com/app/673750/,673750
