Link,ID,name,tag,description,date,developer,price,Recent_Description,Recent_Count,Recent_Percentage,Overall_Description,Overall_Count,Overall_Percentage,peak
https://store.steampowered.com/app/1307710/,1307710,GRID Legends,"竞速
体育
驾驶
动作
剧情丰富
玩家对战
街机
汽车模拟
3D
第三人称
控制器
剧情
模拟
车辆作战
多人
战斗竞速
拟真
孩童
单人
沉浸式",《GRID Legends》提供扣人心弦的赛车动感。创建你梦想中的赛车赛事，加入多人在线比赛，体验戏剧般的虚拟制作故事，拥抱壮观的竞技快感。,2022 年 2 月 24 日,Codemasters,0,褒贬不一,73,61.0,多半好评,1875,75.0,455
https://store.steampowered.com/app/645630/,645630,Car Mechanic Simulator 2018,"模拟
汽车模拟
驾驶
建造
拟真
竞速
单人
多人
第一人称
沙盒
教育
制作
可模组化
开放世界
物理
管理
好评原声音轨
策略
网络梗
合作",在Car Mechanic Simulator 2018中玩家可以修理并喷涂汽车、轮毂、驾驶汽车。 游戏囊括了大量车型，无论是经典之作，还是独特的车款。你甚至可以在车辆编辑器中自己制作车辆模组。 在此款制作精良细节到位的模拟游戏中，你要做的就是扩大汽车修理业务的规模。游戏中车辆细节的制作令人叹为观止。,2017 年 7 月 28 日,Red Dot Games,0,特别好评,197,93.0,特别好评,44290,91.0,8382
https://store.steampowered.com/app/1105670/,1105670,最后的咒语,"战术
2D
单人
像素图形
策略角色扮演
永久死亡
回合制
轻度 Rogue
塔防
回合制战术
战术角色扮演
黑暗奇幻
回合战略
角色扮演
策略
回合制战斗
后末日
基地建设
奇幻
类 Rogue",《最后的咒语》是一款兼具回合制战棋、基地建设和Roguelite随机元素的策略RPG游戏。在夜晚，操控你的英雄小分队击退如潮的敌人；在白天，指挥建设城镇，巩固防御工事。末日将至，用你的智慧和力量守卫人类最后的避风港！,2023 年 3 月 9 日,Ishtar Games,0,特别好评,271,87.0,特别好评,9755,91.0,6723
https://store.steampowered.com/app/2303350/,2303350,小小贴纸铺,"休闲
模拟
放松
独立
治愈系
可爱
解谜
像素图形
彩色
孩童
单人
生活模拟
2D
温馨惬意
LGBTQ+
沙盒
经济
指向点击
氛围
沉浸式模拟",体验经营属于自己的舒适小店的乐趣：创建贴纸，打包订单，聆听顾客们的故事。是时候打造世上最可爱的网店了！,2023 年 7 月 17 日,Spellgarden Games,0,好评如潮,122,96.0,好评如潮,3493,97.0,1109
https://store.steampowered.com/app/414700/,414700,Outlast 2,"恐怖
心理恐怖
生存恐怖
第一人称
血腥
单人
黑暗
氛围
暴力
生存
成人
动作
裸露
色情内容
冒险
剧情丰富
多人
跑酷
独立
第一人称射击","Outlast 2 introduces you to Sullivan Knoth and his followers, who left our wicked world behind to give birth to Temple Gate, a town, deep in the wilderness and hidden from civilization. Knoth and his flock are preparing for the tribulations of the end of times and you’re right in the thick of it.",2017 年 4 月 25 日,Red Barrels,0,特别好评,562,92.0,特别好评,41409,91.0,5966
https://store.steampowered.com/app/1147560/,1147560,小骨：英雄杀手(Skul: The Hero Slayer),"独立
动作
动作类 Rogue
像素图形
2D
轻度 Rogue
类 Rogue
单人
类银河战士恶魔城
平台游戏
困难
横向滚屏
砍杀
冒险
恶人主角
动作冒险
剧情丰富
奇幻
多人
可爱",Skul：The Hero Slayer是2D Rogue Lite动作平台游戏。负责魔王城平安的小骷髅“Skul”，为了拯救被人类捉住的魔王，一个人独自对抗帝国军队开始冒险。,2021 年 1 月 20 日,SOUTHPAW GAMES,0,特别好评,778,90.0,特别好评,44174,93.0,18876
https://store.steampowered.com/app/978780/,978780,STORY OF SEASONS: Friends of Mineral Town,"农场模拟
模拟
休闲
角色扮演
恋爱模拟
单人
可爱
爱情
生活模拟
动漫
放松
女性主角
农业
开放世界
重制
多人",享受人生吧♪ 在充满自然气息的牧场开始“暖暖生活”吧！,2020 年 7 月 14 日,Marvelous Inc.,0,特别好评,35,85.0,特别好评,4400,93.0,3682
https://store.steampowered.com/app/848450/,848450,深海迷航：冰点之下,"开放世界生存制作
生存
水底
单人
开放世界
探索
恐怖
基地建设
冒险
制作
第一人称
生存恐怖
外星人
科幻
多人
氛围
剧情丰富
抢先体验
好评原声音轨
沙盒",在外星上，潜入冰冻的水下冒险。《Below Zero》的故事发生在《Subnautica》原作之后的两年。重返4546B行星，揭开致命的掩饰行动背后的真相。建造加压舱，打造工具，在恶劣条件中生存，深潜进入《Subnautica》的世界。,2021 年 5 月 13 日,Unknown Worlds Entertainment,0,特别好评,993,87.0,特别好评,79805,91.0,42057
https://store.steampowered.com/app/1605220/,1605220,Dune: Spice Wars,"管理
单人
科幻
即时战略
策略
4X
模拟
大战略
即时战术
建造
战术
经济
战争
外交
多人
基地建设
合作
玩家对战环境
玩家对战
独立",这是一款具有4X元素的即时战略游戏，由广受好评的《Northgard》的开发商制作。游戏背景设置在由弗兰克·赫伯特打造的创新沙丘宇宙，玩家需要引领自己的派系，为控制和统治严酷的沙漠星球厄拉科斯而战。,2023 年 9 月 14 日,Shiro Games,0,多半好评,280,79.0,特别好评,9250,80.0,7986
https://store.steampowered.com/app/1061090/,1061090,Jump King,"心理恐怖
困难
精确平台
独立
像素图形
冒险
动作
2D
平台游戏
单人
复古
中世纪
氛围
欢乐
哲理
奇幻
黑色幽默
恐怖
类魂系列
横向滚屏",跳王平台高且险，为寻辣妹力争先。挑战勇者请小心，一失足成千古恨！,2019 年 5 月 3 日,Nexile,0,特别好评,80,86.0,特别好评,10012,90.0,852
